prj	local	autoridade	tipo	Ano	cod	Norma	status	viavel	Nota	Tags	Ementa
	br;sp;sao.paulo	municipal	dec	2008	49254	DECRETO Nº 49.254 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção, Coleta, Triagem, Beneficiamento e Comercialização de Materiais Recicláveis NOVA CONQUISTA, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49260	DECRETO Nº 49.260 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção, Coleta, Triagem, Beneficiamento e Comercialização de Materiais Recicláveis da Capela do Socorro - COOPERCAPS, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49261	DECRETO Nº 49.261 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção, Coleta, Triagem, Beneficiamento e Comercialização de Materiais Recicláveis da Vila Maria - COOPERVILA, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49263	DECRETO Nº 49.263 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa dos Catadores Autônomos de Materiais Reaproveitáveis - COOPERE-CENTRO, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49264	DECRETO Nº 49.264 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção, Coleta, Triagem, Transformação e Comercialização de Recicláveis e Reciclados Tietê - COOPERATIVA CENTRAL TIETÊ, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49272	DECRETO Nº 49.272 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção, Coleta, Triagem e Beneficiamento de Materiais Recicláveis Jaçanã - Cooperativa Sem Fronteiras, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49273	DECRETO Nº 49.273 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção, Coleta, Triagem e Beneficiamento de Materiais Recicláveis Vitória da Penha, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49290	DECRETO Nº 49.290 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção, Coleta, Triagem e Beneficiamento de Materiais Recicláveis da Miguel Yunes - COOPERMYRE, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49291	DECRETO Nº 49.291 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção dos Trabalhadores em Materiais Recicláveis de São Paulo - COOPERVIVABEM, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	49292	DECRETO Nº 49.292 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção, Coleta, Triagem e Beneficiamento de Materiais Recicláveis de São Mateus - COOPERLESTE, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2008	50152	DECRETO Nº 50.152 	Vig	g2		 	Dispõe sobre permissão de uso de bens móveis e de imóvel, a título precário e gratuito, à Cooperativa de Produção, Coleta, Triagem e Beneficiamento de Materiais Recicláveis de União - COOPERUNIÃO, para os fins do Programa Socioambiental de Coleta Seletiva de Resíduos Recicláveis.
	br;sp;sao.paulo	municipal	dec	2011	52091	DECRETO Nº 52.091 	Vig	?		 	Veda a participação de cooperativas em licitações e contratações nos casos que especifica.
	br;sp;sao.paulo	municipal	dec	2011	52442	DECRETO Nº 52.442 	Vig	S-ref		 	Altera os artigos 1º, 2º, 6º, 11 e 13 do Decreto nº 51.300, de 22 de fevereiro de 2010, que regulamenta a celebração de convênios e instrumentos congêneres e as respectivas prestações de contas, no âmbito da Secretaria Municipal de Cultura.
	br;sp;sao.paulo	municipal	dec	2013	54661	DECRETO Nº 54.661 	Vig			ade-sampa	Ratifica o Estatuto da Agência São Paulo de Desenvolvimento - ADE SAMPA.
	br;sp;sao.paulo	municipal	dec	2014	55462	DECRETO Nº 55.462 	Vig			marco-legal; ade-sampa	Regulamenta o Programa para Valorização de Iniciativas Tecnológicas - VAI TEC, instituído no âmbito da Agência São Paulo de Desenvolvimento - ADE SAMPA, nos termos da Lei nº 15.838, de 4 de julho de 2013.
	br;sp;sao.paulo	municipal	dec-leg	2008	4	DECRETO LEGISLATIVO Nº 4 	Vig	N	-1	cooperativa-de-credito	Dispõe sobre a outorga de Salva de Prata em homenagem à COOPMIL - Cooperativa de Economia e Crédito Mútuo dos Policiais Militares e Servidores da Secretaria dos Negócios da Segurança Pública do Estado de São Paulo.
	br;sp;sao.paulo	municipal	lei	2002	607	Projeto de Lei 607				mariana	
	br;sp;sao.paulo	municipal	lei	2004	332	Projeto de Lei 332				mariana	
	br;sp;sao.paulo	municipal	lei	2004	366	Projeto de Lei 366				mariana	
	br;sp;sao.paulo	municipal	lei	2004	559	Projeto de Lei 559				mariana	
	br;sp;sao.paulo	municipal	lei	2004	13841	LEI Nº 13.841 	Vig	S	5	bolsa-trabalho; regras	Dispõe sobre normas do Programa Bolsa-Trabalho - PBT e revoga a Lei nº 13.163, de 5 de julho de 2001.
	br;sp;sao.paulo	municipal	lei	2007	237	Projeto de Lei 237				mariana	
	br;sp;sao.paulo	municipal	lei	2007	762	Projeto de Lei 762				mariana	
	br;sp;sao.paulo	municipal	lei	2008	14731	LEI Nº 14.731 	Vig	S		economia-solidaria; eventos	Institui a Feira Municipal de Economia Solidária - ECOSOL e às Feiras Regionais de Economia Solidária das Subprefeituras - ECOSOL REGIONAIS, no Município de São Paulo, e dá outras providências.
	br;sp;sao.paulo	municipal	lei	2009	688	Projeto de Lei 688				mariana	
	br;sp;sao.paulo	municipal	lei	2011	125	Projeto de Lei 125				mariana	
